Context,Example,Implemented,Anticipatory,Responsive,Both,all,id,Prop_Anticipatory,Prop_Responsive,Prop_Both
CC,Community-based rights,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Community-based rights,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Community-based rights,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Community-based rights,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Disaster risk management,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Disaster risk management,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster risk management,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster risk management,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Economic/community development,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Economic/community development,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Economic/community development,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Fair trade laws,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Fair trade laws,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Individual property rights,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Individual property rights,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Individual property rights,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Individual property rights,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Insurance,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Insurance,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Insurance,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Insurance,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Permit/license/quota banks,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Permit/license/quota banks,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Permit/license/quota banks,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,International agreements,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,International agreements,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,International agreements,N,NA,NA,NA,NA,NA,NA,NA,NA
N,International agreements,Y,0,0,1,1,NA,0,0,1
CC,Cooperatives,N,NA,NA,NA,NA,NA,NA,NA,NA
