Context,Example,Implemented,Anticipatory,Responsive,Both,all,id,Prop_Anticipatory,Prop_Responsive,Prop_Both
CC,Community-based rights,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Community-based rights,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Community-based rights,N,0,1,0,1,NA,0,1,0
N,Community-based rights,Y,2,0,0,2,NA,1,0,0
CC,Disaster risk management,N,1,0,0,1,4,1,0,0
CC,Disaster risk management,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster risk management,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster risk management,Y,0,1,0,1,4,0,1,0
CC,Economic/community development,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Economic/community development,N,0,3,0,3,NA,0,1,0
N,Economic/community development,Y,1,1,0,2,NA,0.5,0.5,0
CC,Fair trade laws,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Fair trade laws,Y,1,0,0,1,NA,1,0,0
CC,Individual property rights,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Individual property rights,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Individual property rights,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Individual property rights,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Insurance,N,1,0,0,1,8,1,0,0
CC,Insurance,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Insurance,N,1,0,0,1,8,1,0,0
N,Insurance,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Permit/license/quota banks,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Permit/license/quota banks,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Permit/license/quota banks,Y,0,0,1,1,NA,0,0,1
CC,International agreements,N,3,0,0,3,9,1,0,0
CC,International agreements,Y,1,0,0,1,9,1,0,0
N,International agreements,N,NA,NA,NA,NA,NA,NA,NA,NA
N,International agreements,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Cooperatives,N,2,0,0,2,2,1,0,0
CC,Cooperatives,Y,1,0,0,1,2,1,0,0
N,Cooperatives,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Cooperatives,Y,NA,NA,NA,NA,NA,NA,NA,NA
